stone 石頭
granite 花崗岩
polished_granite 拋光花崗岩
diorite 閃長岩
polished_diorite 拋光閃長岩
andesite 安山岩
polished_andesite 拋光安山岩
grass_block 草地
dirt 泥土
coarse_dirt 粗泥
podzol 灰壤
cobblestone 鵝卵石
oak_planks 橡木材
spruce_planks 杉木材
birch_planks 樺木材
jungle_planks 叢林木材
acacia_planks 相思木材
dark_oak_planks 黑橡木材
mangrove_planks 紅樹林木材
oak_sapling 橡木樹苗
spruce_sapling 杉木樹苗
birch_sapling 樺木樹苗
jungle_sapling 叢林木樹苗
acacia_sapling 相思木樹苗
dark_oak_sapling 黑橡木樹苗
mangrove_propagule 紅樹林木胎生苗
bedrock 基岩
sand 沙
red_sand 紅沙
gravel 礫石
gold_ore 金礦
deepslate_gold_ore 深板岩金礦
iron_ore 鐵礦
deepslate_iron_ore 深板岩鐵礦
coal_ore 煤礦
deepslate_coal_ore 深板岩煤礦
nether_gold_ore 地獄金礦
oak_log 橡木原木
spruce_log 杉木原木
birch_log 樺木原木
jungle_log 叢林木原木
acacia_log 相思木原木
dark_oak_log 黑橡木原木
mangrove_log 紅樹林木原木
mangrove_roots 紅樹林木根
muddy_mangrove_roots 淤泥紅樹林木根
stripped_spruce_log 剝皮杉木原木
stripped_birch_log 剝皮樺木原木
stripped_jungle_log 剝皮叢林木原木
stripped_acacia_log 剝皮相思木原木
stripped_dark_oak_log 剝皮黑橡木原木
stripped_oak_log 剝皮橡木原木
stripped_mangrove_log 剝皮紅樹林木原木
oak_wood 橡木塊
spruce_wood 杉木塊
birch_wood 樺木塊
jungle_wood 叢林木塊
acacia_wood 相思木塊
dark_oak_wood 黑橡木塊
mangrove_wood 紅樹林木塊
stripped_oak_wood 剝皮橡木塊
stripped_spruce_wood 剝皮杉木塊
stripped_birch_wood 剝皮樺木塊
stripped_jungle_wood 剝皮叢林木塊
stripped_acacia_wood 剝皮相思木塊
stripped_dark_oak_wood 剝皮黑橡木塊
stripped_mangrove_wood 剝皮紅樹林木塊
oak_leaves 橡木樹葉
spruce_leaves 杉木樹葉
birch_leaves 樺木樹葉
jungle_leaves 叢林木樹葉
acacia_leaves 相思木樹葉
dark_oak_leaves 黑橡木樹葉
mangrove_leaves 紅樹林木樹葉
azalea_leaves 杜鵑葉
